Nom,Entitat,Nom Lliga,Nivell,Núm. sorteig,Dia partit,Horari partit,Observacions
Parc del Guinardó - Gestió Club,Futbol Club Martinenc,FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,Nivell E,Casa,Divendres,18:00 h,
Futbol Club Martinenc,Futbol Club Martinenc,FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,Nivell E,Casa,Divendres,19:00 h,
"Sant Peter´s School ""C""",Sant Peter´s School,FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,Nivell C,Fora,Divendres,18:00 h,
"Acció Sant Martí ""A""",Acció Sant Martí,FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,Nivell E,Casa,Divendres,19:30 h,
Artós Sports Club (FPC CET 10) A,Artós Sports Club (FPC CET 10),FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,Nivell A,1,Divendres,19:00 h,LLIGA DIVENDRES
Artós Sports Club (FPC CET 10) B,Artós Sports Club (FPC CET 10),FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,Nivell C,5,Divendres,19:00 h,LLIGA DIVENDRES
"Club Esportiu Jesús Maria ""A""",Club Esportiu Jesús Maria,FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,Nivell B,3,Divendres,18:00 h,
"Club Esportiu Jesús Maria ""B""",Club Esportiu Jesús Maria,FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,Nivell B,3,Divendres,18:00 h,
"Escola Diputació - TEAM ""A""",Escola Diputació - TEAM,FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,Nivell E,Casa,Divendres,18:00 h,
"Escolàpies de Llúria (FPC CET 10) ""A""",Escolàpies de Llúria (FPC CET 10),FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,Nivell E,Casa,Divendres,18:00 h,
Escola Ntra Sra de Lurdes,Escola Ntra Sra de Lurdes,FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,Nivell E,1,Dissabte,11:00 h,
"FC Xavi ""A""",FC Xavi,FUTBOL 5 BENJAMÍ MIXT COPA CEEB 25-26,Nivell A,1,Divendres,19:00 h,
"FC Xavi ""B""",FC Xavi,FUTBOL 5 BENJAMÍ MIXT COPA CEEB 25-26,Nivell A,1,Divendres,19:00 h,
"FC Xavi ""C""",FC Xavi,FUTBOL 5 BENJAMÍ MIXT COPA CEEB 25-26,Nivell A,Casa,Dimarts,19:00 h,
"EFS Vesuvi ""A""",Trinitat Unió Esportiva,FUTBOL 5 BENJAMÍ MIXT COPA CEEB 25-26,Nivell C,4,Divendres,18:40 h,
"Jesuïtes El Clot-Escola del Clot ""A""",Jesuïtes El Clot-Escola del Clot,FUTBOL 5 CADET FEMENÍ 1ª FASE CEEB,Nivell C,2,Divendres,20:00 h,
Artós Sports Club (FPC CET 10),Artós Sports Club (FPC CET 10),FUTBOL 5 CADET FEMENÍ 1ª FASE CEEB,Nivell B,Fora,Divendres,19:00 h,
Manyanet Sant Andreu,Manyanet Sant Andreu,FUTBOL 5 CADET FEMENÍ 1ª FASE CEEB,Nivell C,1,Dissabte,12:00 h,
EVEREST Prosperitat,Escola de Futbol Sala Prosperitat,FUTBOL 5 CADET FEMENÍ 1ª FASE CEEB,Nivell B,,Dissabte,13:45 h,"ATENDRE LLISTAT DE PETICIÓ PELS CALENDARIS. 6 EQUIPS UN DISSABTE (MENUTS I, MENUTS J, PREBENJAMIN J, PREBENJAMI D, ALEVI FEMENI, CADET FEMENI) 5 EQUIPS EL SEGÜENT DISSABTE (PREALEVI A, PEALEVI F, BENJAMI P, ALEVI E, INFANTIL B)"
"AI Estel Vallseca ""A""",AI Estel Vallseca,FUTBOL 5 CADET FEMENÍ 1ª FASE CEEB,Nivell C,7,Divendres,20:15 h,
"AI Estel Vallseca ""B""",AI Estel Vallseca,FUTBOL 5 CADET FEMENÍ 1ª FASE CEEB,Nivell E,7,Divendres,19:15 h,
"CELH (CE Alheña) ""A""",CELH (CE Alheña),FUTBOL 5 CADET FEMENÍ 1ª FASE CEEB,Nivell C,Casa,Dissabte,11:00 h,
Manyanet Sant Andreu B,Manyanet Sant Andreu,FUTBOL 5 CADET FEMENÍ 1ª FASE CEEB,Nivell E,1,Dissabte,09:00 h,
Escola Pia Sant Miquel,Escola Pia Sant Miquel,FUTBOL 5 CADET MIXT 1ª FASE CEEB,Nivell C,1,Dissabte,09:30 h,
Artós Sports Club (FPC CET 10),Artós Sports Club (FPC CET 10),FUTBOL 5 CADET MIXT 1ª FASE CEEB,Nivell E,5,Dissabte,12:00 h,
"Escola Bac de Roda (7 d'Aventura) ""A""",Escola Bac de Roda (7 d'Aventura),FUTBOL 5 CADET MIXT 1ª FASE CEEB,Nivell E,5,Divendres,20:00 h,
"CE La Salle Gracia ""Negre""",CE La Salle Gracia,FUTBOL 5 CADET MIXT 1ª FASE CEEB,Nivell C,1,Divendres,20:30 h,
